country,iso3c,deaths,days_since_tenth_death,deaths_per_million_smoothed,total_deaths_per_million,deaths_per_million_smoothed_yesterday
"Korea, South",KOR,0,27,0.10932755896132935,4.766829101212629,0.020542780178337387
"Korea, South",KOR,9,28,0.11134336498963392,4.766829101212629,0.020542780178337387
"Korea, South",KOR,6,29,0.11259315282920665,4.766829101212629,0.020542780178337387
"Korea, South",KOR,5,30,0.11298600579286583,4.766829101212629,0.020542780178337387
"Korea, South",KOR,8,31,0.11250478061374419,4.766829101212629,0.020542780178337387
"Korea, South",KOR,5,32,0.11117025151660505,4.766829101212629,0.020542780178337387
"Korea, South",KOR,8,33,0.10907859719064382,4.766829101212629,0.020542780178337387
"Korea, South",KOR,6,34,0.10642616087106978,4.766829101212629,0.020542780178337387
"Korea, South",KOR,4,35,0.10347993191551441,4.766829101212629,0.020542780178337387
"Korea, South",KOR,3,36,0.10063913961595661,4.766829101212629,0.020542780178337387
"Korea, South",KOR,4,37,0.09809753488505517,4.766829101212629,0.020542780178337387
"Korea, South",KOR,5,38,0.09594501602138311,4.766829101212629,0.020542780178337387
"Korea, South",KOR,3,39,0.09411051178760466,4.766829101212629,0.020542780178337387
"Korea, South",KOR,6,40,0.09246396755449181,4.766829101212629,0.020542780178337387
"Korea, South",KOR,3,41,0.090797496868947,4.766829101212629,0.020542780178337387
"Korea, South",KOR,6,42,0.08887300110112115,4.766829101212629,0.020542780178337387
"Korea, South",KOR,8,43,0.08645381129963234,4.766829101212629,0.020542780178337387
"Korea, South",KOR,4,44,0.08338849594809285,4.766829101212629,0.020542780178337387
"Korea, South",KOR,4,45,0.07980211120994506,4.766829101212629,0.020542780178337387
"Korea, South",KOR,3,46,0.07587332451465223,4.766829101212629,0.020542780178337387
"Korea, South",KOR,3,47,0.07172305814660819,4.766829101212629,0.020542780178337387
"Korea, South",KOR,3,48,0.06742668772924872,4.766829101212629,0.020542780178337387
"Korea, South",KOR,5,49,0.06295204681738291,4.766829101212629,0.020542780178337387
"Korea, South",KOR,3,50,0.058303456311676445,4.766829101212629,0.020542780178337387
"Korea, South",KOR,4,51,0.05353104385632761,4.766829101212629,0.020542780178337387
"Korea, South",KOR,1,52,0.04879451671159134,4.766829101212629,0.020542780178337387
"Korea, South",KOR,2,53,0.04425829090101351,4.766829101212629,0.020542780178337387
"Korea, South",KOR,2,54,0.040060258562655944,4.766829101212629,0.020542780178337387
"Korea, South",KOR,2,55,0.036256414842748025,4.766829101212629,0.020542780178337387
"Korea, South",KOR,1,56,0.03288987681216735,4.766829101212629,0.020542780178337387
"Korea, South",KOR,1,57,0.0300139202935723,4.766829101212629,0.020542780178337387
"Korea, South",KOR,2,58,0.027608513527650695,4.766829101212629,0.020542780178337387
"Korea, South",KOR,0,59,0.025633062689529362,4.766829101212629,0.020542780178337387
"Korea, South",KOR,2,60,0.024035079363849528,4.766829101212629,0.020542780178337387
"Korea, South",KOR,1,61,0.02271953867706285,4.766829101212629,0.020542780178337387
"Korea, South",KOR,1,62,0.021584527520757155,4.766829101212629,0.020542780178337387
"Korea, South",KOR,2,63,0.020542780178337387,4.766829101212629,0.020542780178337387
Philippines,PHL,3,0,0.014482305681018364,4.9694369314788345,0.11737835738084042
Philippines,PHL,1,1,0.016377090262116655,4.9694369314788345,0.11737835738084042
Philippines,PHL,0,2,0.018476727231760817,4.9694369314788345,0.11737835738084042
Philippines,PHL,7,3,0.020883077977621834,4.9694369314788345,0.11737835738084042
Philippines,PHL,-2,4,0.023726758461947505,4.9694369314788345,0.11737835738084042
Philippines,PHL,1,5,0.027146641564786748,4.9694369314788345,0.11737835738084042
Philippines,PHL,1,6,0.031229672029244232,4.9694369314788345,0.11737835738084042
Philippines,PHL,6,7,0.035873092349160966,4.9694369314788345,0.11737835738084042
Philippines,PHL,8,8,0.04095334256094372,4.9694369314788345,0.11737835738084042
Philippines,PHL,2,9,0.04645215443395911,4.9694369314788345,0.11737835738084042
Philippines,PHL,3,10,0.052378435400849736,4.9694369314788345,0.11737835738084042
Philippines,PHL,7,11,0.05871525839218266,4.9694369314788345,0.11737835738084042
Philippines,PHL,9,12,0.06532956737968278,4.9694369314788345,0.11737835738084042
Philippines,PHL,14,13,0.07209539843222558,4.9694369314788345,0.11737835738084042
Philippines,PHL,3,14,0.0790476274327186,4.9694369314788345,0.11737835738084042
Philippines,PHL,7,15,0.08631942672964403,4.9694369314788345,0.11737835738084042
Philippines,PHL,10,16,0.09402310397635397,4.9694369314788345,0.11737835738084042
Philippines,PHL,8,17,0.10209537570631334,4.9694369314788345,0.11737835738084042
Philippines,PHL,11,18,0.1103159104486586,4.9694369314788345,0.11737835738084042
Philippines,PHL,29,19,0.11849120160720542,4.9694369314788345,0.11737835738084042
Philippines,PHL,8,20,0.1266557356571335,4.9694369314788345,0.11737835738084042
Philippines,PHL,8,21,0.1349760386930468,4.9694369314788345,0.11737835738084042
Philippines,PHL,11,22,0.14379728727951746,4.9694369314788345,0.11737835738084042
