country,iso3c,deaths,days_since_tenth_death,deaths_per_million_smoothed,total_deaths_per_million,deaths_per_million_smoothed_yesterday
Ecuador,ECU,27,11,0.9731910589797812,33.71505289897653,0.4426270483389196
Ecuador,ECU,25,12,1.0417815040469636,33.71505289897653,0.4426270483389196
Ecuador,ECU,27,13,1.0995321295438232,33.71505289897653,0.4426270483389196
Ecuador,ECU,8,14,1.14967290624191,33.71505289897653,0.4426270483389196
Ecuador,ECU,11,15,1.1955634380291367,33.71505289897653,0.4426270483389196
Ecuador,ECU,0,16,1.2378203004376436,33.71505289897653,0.4426270483389196
Ecuador,ECU,51,17,1.274570374919096,33.71505289897653,0.4426270483389196
Ecuador,ECU,30,18,1.2988813946528641,33.71505289897653,0.4426270483389196
Ecuador,ECU,25,19,1.3106435546020958,33.71505289897653,0.4426270483389196
Ecuador,ECU,18,20,1.3124107430271874,33.71505289897653,0.4426270483389196
Ecuador,ECU,18,21,1.3082288027902773,33.71505289897653,0.4426270483389196
Ecuador,ECU,22,22,1.3005049911091424,33.71505289897653,0.4426270483389196
Ecuador,ECU,14,23,1.2909680090077107,33.71505289897653,0.4426270483389196
Ecuador,ECU,19,24,1.280270690999116,33.71505289897653,0.4426270483389196
Ecuador,ECU,15,25,1.2668944512818678,33.71505289897653,0.4426270483389196
Ecuador,ECU,18,26,1.248250488920162,33.71505289897653,0.4426270483389196
Ecuador,ECU,35,27,1.2194984263736521,33.71505289897653,0.4426270483389196
Ecuador,ECU,18,28,1.1757163783289915,33.71505289897653,0.4426270483389196
Ecuador,ECU,33,29,1.1144307297483276,33.71505289897653,0.4426270483389196
Ecuador,ECU,13,30,1.0357401510237734,33.71505289897653,0.4426270483389196
Ecuador,ECU,17,31,0.9404046736198202,33.71505289897653,0.4426270483389196
Ecuador,ECU,23,32,0.8300535040730613,33.71505289897653,0.4426270483389196
Ecuador,ECU,16,33,0.7077130045671327,33.71505289897653,0.4426270483389196
Ecuador,ECU,0,34,0.5769990501936997,33.71505289897653,0.4426270483389196
Ecuador,ECU,0,35,0.4426270483389196,33.71505289897653,0.4426270483389196
Turkey,TUR,21,0,0.09227489764478165,34.07445826713413,1.3232002717329647
Turkey,TUR,7,1,0.12102160343599046,34.07445826713413,1.3232002717329647
Turkey,TUR,7,2,0.1548790497429533,34.07445826713413,1.3232002717329647
Turkey,TUR,15,3,0.19454091092403505,34.07445826713413,1.3232002717329647
Turkey,TUR,16,4,0.24056885286853621,34.07445826713413,1.3232002717329647
Turkey,TUR,17,5,0.2932616044392268,34.07445826713413,1.3232002717329647
Turkey,TUR,16,6,0.3525808695964807,34.07445826713413,1.3232002717329647
Turkey,TUR,23,7,0.4181383011560768,34.07445826713413,1.3232002717329647
Turkey,TUR,37,8,0.48843472404423444,34.07445826713413,1.3232002717329647
Turkey,TUR,46,9,0.5615334145072634,34.07445826713413,1.3232002717329647
Turkey,TUR,63,10,0.6349806566356823,34.07445826713413,1.3232002717329647
Turkey,TUR,79,11,0.706652391509599,34.07445826713413,1.3232002717329647
Turkey,TUR,69,12,0.7748563674091631,34.07445826713413,1.3232002717329647
Turkey,TUR,76,13,0.8392394932251808,34.07445826713413,1.3232002717329647
Turkey,TUR,73,14,0.9001638324045894,34.07445826713413,1.3232002717329647
Turkey,TUR,75,15,0.958105150594003,34.07445826713413,1.3232002717329647
Turkey,TUR,76,16,1.0135883002083843,34.07445826713413,1.3232002717329647
Turkey,TUR,87,17,1.0670021577435456,34.07445826713413,1.3232002717329647
Turkey,TUR,96,18,1.1181822119322078,34.07445826713413,1.3232002717329647
Turkey,TUR,98,19,1.166974114623254,34.07445826713413,1.3232002717329647
Turkey,TUR,95,20,1.2133368239094144,34.07445826713413,1.3232002717329647
Turkey,TUR,97,21,1.2573994226390552,34.07445826713413,1.3232002717329647
Turkey,TUR,98,22,1.2988659392531094,34.07445826713413,1.3232002717329647
Turkey,TUR,107,23,1.3371574171525762,34.07445826713413,1.3232002717329647
Turkey,TUR,115,24,1.3710447441999092,34.07445826713413,1.3232002717329647
Turkey,TUR,125,25,1.3990726193170608,34.07445826713413,1.3232002717329647
Turkey,TUR,126,26,1.4199606115011392,34.07445826713413,1.3232002717329647
Turkey,TUR,121,27,1.433195663442801,34.07445826713413,1.3232002717329647
Turkey,TUR,127,28,1.4385574720600998,34.07445826713413,1.3232002717329647
Turkey,TUR,123,29,1.4363449287080925,34.07445826713413,1.3232002717329647
Turkey,TUR,119,30,1.4274200404296797,34.07445826713413,1.3232002717329647
Turkey,TUR,117,31,1.4128183291744683,34.07445826713413,1.3232002717329647
Turkey,TUR,115,32,1.3938102398534262,34.07445826713413,1.3232002717329647
Turkey,TUR,109,33,1.3717364539367827,34.07445826713413,1.3232002717329647
Turkey,TUR,106,34,1.3478699061958774,34.07445826713413,1.3232002717329647
Turkey,TUR,99,35,1.3232002717329647,34.07445826713413,1.3232002717329647
Finland,FIN,2,0,0.31718244098641624,34.448216624890655,2.0567827656720747
Finland,FIN,2,1,0.34149312229135564,34.448216624890655,2.0567827656720747
Finland,FIN,4,2,0.3647983280017296,34.448216624890655,2.0567827656720747
Finland,FIN,0,3,0.38844155666893027,34.448216624890655,2.0567827656720747
Finland,FIN,2,4,0.41427553393072697,34.448216624890655,2.0567827656720747
Finland,FIN,1,5,0.44376062173178715,34.448216624890655,2.0567827656720747
Finland,FIN,5,6,0.47668412844757896,34.448216624890655,2.0567827656720747
Finland,FIN,3,7,0.5134733865070729,34.448216624890655,2.0567827656720747
Finland,FIN,-1,8,0.5546774628727594,34.448216624890655,2.0567827656720747
Finland,FIN,7,9,0.6002035226990241,34.448216624890655,2.0567827656720747
Finland,FIN,6,10,0.649907149818,34.448216624890655,2.0567827656720747
Finland,FIN,2,11,0.7045003391843216,34.448216624890655,2.0567827656720747
Finland,FIN,6,12,0.7664873182960027,34.448216624890655,2.0567827656720747
Finland,FIN,1,13,0.8387376023040664,34.448216624890655,2.0567827656720747
Finland,FIN,7,14,0.9236152398464179,34.448216624890655,2.0567827656720747
Finland,FIN,3,15,1.0222956177643532,34.448216624890655,2.0567827656720747
Finland,FIN,5,16,1.135360838406565,34.448216624890655,2.0567827656720747
Finland,FIN,8,17,1.2620518032981198,34.448216624890655,2.0567827656720747
Finland,FIN,3,18,1.4008946973853336,34.448216624890655,2.0567827656720747
Finland,FIN,7,19,1.5494051206296091,34.448216624890655,2.0567827656720747
Finland,FIN,8,20,1.7014610438504236,34.448216624890655,2.0567827656720747
Finland,FIN,4,21,1.8498248418007541,34.448216624890655,2.0567827656720747
Finland,FIN,4,22,1.9846081710061119,34.448216624890655,2.0567827656720747
Finland,FIN,43,23,2.088412646797475,34.448216624890655,2.0567827656720747
Finland,FIN,8,24,2.146119688329802,34.448216624890655,2.0567827656720747
Finland,FIN,23,25,2.1602223073540983,34.448216624890655,2.0567827656720747
Finland,FIN,5,26,2.142073382095235,34.448216624890655,2.0567827656720747
Finland,FIN,9,27,2.1039138474769628,34.448216624890655,2.0567827656720747
Finland,FIN,4,28,2.0567827656720747,34.448216624890655,2.0567827656720747
Norway,NOR,3,0,0.3262979680436854,37.83945378654331,0.48942703301831564
Norway,NOR,2,1,0.39088329660086896,37.83945378654331,0.48942703301831564
Norway,NOR,2,2,0.4642179177105066,37.83945378654331,0.48942703301831564
Norway,NOR,0,3,0.5461957973903974,37.83945378654331,0.48942703301831564
Norway,NOR,5,4,0.6356340278497165,37.83945378654331,0.48942703301831564
Norway,NOR,4,5,0.7302475536310855,37.83945378654331,0.48942703301831564
Norway,NOR,2,6,0.8274639421112321,37.83945378654331,0.48942703301831564
Norway,NOR,7,7,0.9244497098320074,37.83945378654331,0.48942703301831564
Norway,NOR,7,8,1.0183533553908886,37.83945378654331,0.48942703301831564
Norway,NOR,5,9,1.1067983307769411,37.83945378654331,0.48942703301831564
Norway,NOR,6,10,1.1885992300803512,37.83945378654331,0.48942703301831564
Norway,NOR,9,11,1.2628308927919814,37.83945378654331,0.48942703301831564
Norway,NOR,3,12,1.328435570375864,37.83945378654331,0.48942703301831564
Norway,NOR,9,13,1.3842110961913756,37.83945378654331,0.48942703301831564
Norway,NOR,5,14,1.4285231389747788,37.83945378654331,0.48942703301831564
Norway,NOR,13,15,1.458127398141031,37.83945378654331,0.48942703301831564
Norway,NOR,12,16,1.4701228752325604,37.83945378654331,0.48942703301831564
Norway,NOR,7,17,1.4653480433837973,37.83945378654331,0.48942703301831564
Norway,NOR,5,18,1.4484123452302629,37.83945378654331,0.48942703301831564
Norway,NOR,6,19,1.423983350826179,37.83945378654331,0.48942703301831564
Norway,NOR,9,20,1.393932643626781,37.83945378654331,0.48942703301831564
Norway,NOR,6,21,1.3594203558231703,37.83945378654331,0.48942703301831564
Norway,NOR,5,22,1.3214168457615,37.83945378654331,0.48942703301831564
