state,days_since_tenth_death_m50,deaths_per_million_smoothed,total_deaths_per_million,deaths_per_million_smoothed_yesterday,total_deaths
SC,1,1.3313710117507762,112.90040551701404,1.6928102048331666,574
SC,2,1.3410626422751428,112.90040551701404,1.6928102048331666,574
SC,3,1.3641840720816854,112.90040551701404,1.6928102048331666,574
SC,4,1.3992191725776546,112.90040551701404,1.6928102048331666,574
SC,5,1.4399424998029535,112.90040551701404,1.6928102048331666,574
SC,6,1.481567985403644,112.90040551701404,1.6928102048331666,574
SC,7,1.5205085714493751,112.90040551701404,1.6928102048331666,574
SC,8,1.5551820902929436,112.90040551701404,1.6928102048331666,574
SC,9,1.583643889929605,112.90040551701404,1.6928102048331666,574
SC,10,1.6015945830717435,112.90040551701404,1.6928102048331666,574
SC,11,1.608271445225173,112.90040551701404,1.6928102048331666,574
SC,12,1.6049922569629207,112.90040551701404,1.6928102048331666,574
SC,13,1.5968216971980465,112.90040551701404,1.6928102048331666,574
SC,14,1.5891058486521406,112.90040551701404,1.6928102048331666,574
SC,15,1.5862427707037512,112.90040551701404,1.6928102048331666,574
SC,16,1.5895374381875087,112.90040551701404,1.6928102048331666,574
SC,17,1.5981130807990982,112.90040551701404,1.6928102048331666,574
SC,18,1.6069557824658494,112.90040551701404,1.6928102048331666,574
SC,19,1.6156301540861493,112.90040551701404,1.6928102048331666,574
SC,20,1.6259367236787374,112.90040551701404,1.6928102048331666,574
SC,21,1.6410970439872723,112.90040551701404,1.6928102048331666,574
SC,22,1.6589292635023183,112.90040551701404,1.6928102048331666,574
SC,23,1.676349735663068,112.90040551701404,1.6928102048331666,574
SC,24,1.6928102048331666,112.90040551701404,1.6928102048331666,574
WI,0,1.3398458360059617,114.90361856952563,1.3226213372469298,668
WI,1,1.3372931913531891,114.90361856952563,1.3226213372469298,668
WI,2,1.3472529135308575,114.90361856952563,1.3226213372469298,668
WI,3,1.368528131468418,114.90361856952563,1.3226213372469298,668
WI,4,1.3976837759803524,114.90361856952563,1.3226213372469298,668
WI,5,1.4319067603112523,114.90361856952563,1.3226213372469298,668
WI,6,1.471598826572569,114.90361856952563,1.3226213372469298,668
