country,iso3c,deaths,days_since_tenth_death_m50,deaths_per_million_smoothed,total_deaths_per_million,deaths_per_million_smoothed_yesterday
Japan,JPN,9,0,0.1508314612417872,5.508614223921612,0.14189502460664688
Japan,JPN,19,1,0.15080294882354456,5.508614223921612,0.14189502460664688
Japan,JPN,17,2,0.15098820289464474,5.508614223921612,0.14189502460664688
Japan,JPN,25,3,0.15113963808766281,5.508614223921612,0.14189502460664688
Japan,JPN,19,4,0.1510638662497985,5.508614223921612,0.14189502460664688
Japan,JPN,13,5,0.15055769953449144,5.508614223921612,0.14189502460664688
Japan,JPN,49,6,0.1494098977463713,5.508614223921612,0.14189502460664688
Japan,JPN,20,7,0.14772724625606867,5.508614223921612,0.14189502460664688
Japan,JPN,0,8,0.14573931811742138,5.508614223921612,0.14189502460664688
Japan,JPN,21,9,0.14382546255368014,5.508614223921612,0.14189502460664688
Japan,JPN,13,10,0.14232560232316477,5.508614223921612,0.14189502460664688
Japan,JPN,17,11,0.14128565127977863,5.508614223921612,0.14189502460664688
Japan,JPN,17,12,0.14072854526902132,5.508614223921612,0.14189502460664688
Japan,JPN,9,13,0.1406555303877027,5.508614223921612,0.14189502460664688
Japan,JPN,24,14,0.14092720123899408,5.508614223921612,0.14189502460664688
Japan,JPN,21,15,0.14138007674618133,5.508614223921612,0.14189502460664688
Japan,JPN,19,16,0.14189502460664688,5.508614223921612,0.14189502460664688
Egypt,EGY,11,0,0.13027196148401138,5.801454417510354,0.12272308823815438
Egypt,EGY,8,1,0.12811584657998304,5.801454417510354,0.12272308823815438
Egypt,EGY,11,2,0.12615047474502364,5.801454417510354,0.12272308823815438
Egypt,EGY,12,3,0.12438348888152691,5.801454417510354,0.12272308823815438
Egypt,EGY,15,4,0.12272308823815438,5.801454417510354,0.12272308823815438
Philippines,PHL,16,0,0.14235345216908096,7.407273916732602,0.16721856138329053
Philippines,PHL,14,1,0.14394738158459833,7.407273916732602,0.16721856138329053
Philippines,PHL,21,2,0.1455907984388618,7.407273916732602,0.16721856138329053
Philippines,PHL,27,3,0.14720857731636056,7.407273916732602,0.16721856138329053
Philippines,PHL,11,4,0.14882724396234503,7.407273916732602,0.16721856138329053
Philippines,PHL,8,5,0.1507816436705911,7.407273916732602,0.16721856138329053
Philippines,PHL,15,6,0.1532641608494051,7.407273916732602,0.16721856138329053
Philippines,PHL,7,7,0.15634412093141642,7.407273916732602,0.16721856138329053
Philippines,PHL,25,8,0.1598327902706551,7.407273916732602,0.16721856138329053
Philippines,PHL,21,9,0.16350133274212073,7.407273916732602,0.16721856138329053
Philippines,PHL,18,10,0.16721856138329053,7.407273916732602,0.16721856138329053
Algeria,DZA,6,0,0.13978867240275628,12.527105850894904,0.16912714149812086
Algeria,DZA,8,1,0.14552428377030027,12.527105850894904,0.16912714149812086
Algeria,DZA,5,2,0.1513794917609476,12.527105850894904,0.16912714149812086
Algeria,DZA,8,3,0.15728915964023524,12.527105850894904,0.16912714149812086
Algeria,DZA,7,4,0.16321022580406683,12.527105850894904,0.16912714149812086
Algeria,DZA,7,5,0.16912714149812086,12.527105850894904,0.16912714149812086
Greece,GRC,0,0,0.09728880719153038,14.536338329920088,0.10482279063875781
Greece,GRC,0,1,0.09816292298576985,14.536338329920088,0.10482279063875781
Greece,GRC,1,2,0.09998191375417816,14.536338329920088,0.10482279063875781
Greece,GRC,3,3,0.1023286207435318,14.536338329920088,0.10482279063875781
Greece,GRC,1,4,0.10482279063875781,14.536338329920088,0.10482279063875781
Poland,POL,22,0,0.5044183411109884,23.25229264182121,0.5152637717940723
Poland,POL,22,1,0.5152637717940723,23.25229264182121,0.5152637717940723
Dominican Republic,DOM,13,0,0.776291600591456,39.7095556528952,0.776291600591456
Norway,NOR,4,0,0.40205154317971,43.67538944516442,0.4703561530966793
Norway,NOR,1,1,0.43620637701105835,43.67538944516442,0.4703561530966793
Norway,NOR,3,2,0.4703561530966793,43.67538944516442,0.4703561530966793
Hungary,HUN,6,0,0.6185687894575317,44.601007164394815,0.6185687894575317
Turkey,TUR,55,0,0.6293482589005458,48.67606213062619,0.5762496284862831
Turkey,TUR,53,1,0.6108333382117132,48.67606213062619,0.5762496284862831
Turkey,TUR,58,2,0.5933319409942295,48.67606213062619,0.5762496284862831
Turkey,TUR,55,3,0.5762496284862831,48.67606213062619,0.5762496284862831
Romania,ROU,34,0,1.178776427775536,54.0939153592044,1.1671287932022538
Romania,ROU,17,1,1.1671287932022538,54.0939153592044,1.1671287932022538
Brazil,BRA,639,0,2.9727864982214807,66.83078520138315,3.628286745059288
Brazil,BRA,467,1,3.099621285967805,66.83078520138315,3.628286745059288
Brazil,BRA,530,2,3.2293634635555355,66.83078520138315,3.628286745059288
Brazil,BRA,808,3,3.361459528366222,66.83078520138315,3.628286745059288
Brazil,BRA,779,4,3.4947185948349397,66.83078520138315,3.628286745059288
Brazil,BRA,759,5,3.628286745059288,66.83078520138315,3.628286745059288
Austria,AUT,2,0,0.21150423191894777,70.81030631565719,0.12005432256844845
Austria,AUT,3,1,0.1804546072997157,70.81030631565719,0.12005432256844845
Austria,AUT,1,2,0.15009305676906948,70.81030631565719,0.12005432256844845
Austria,AUT,2,3,0.12005432256844845,70.81030631565719,0.12005432256844845
Iran,IRN,98,0,1.285517812124055,83.78945550900328,0.6401794173752089
Iran,IRN,94,1,1.2438886998680607,83.78945550900328,0.6401794173752089
Iran,IRN,92,2,1.204997414018014,83.78945550900328,0.6401794173752089
Iran,IRN,89,3,1.1695222309527475,83.78945550900328,0.6401794173752089
Iran,IRN,73,4,1.1377330342670813,83.78945550900328,0.6401794173752089
Iran,IRN,87,5,1.1096196119215906,83.78945550900328,0.6401794173752089
Iran,IRN,91,6,1.0844597621238778,83.78945550900328,0.6401794173752089
Iran,IRN,88,7,1.0613443442556065,83.78945550900328,0.6401794173752089
Iran,IRN,94,8,1.0393754985053263,83.78945550900328,0.6401794173752089
Iran,IRN,90,9,1.0178346091045682,83.78945550900328,0.6401794173752089
Iran,IRN,93,10,0.996183933174316,83.78945550900328,0.6401794173752089
Iran,IRN,76,11,0.9744210339626878,83.78945550900328,0.6401794173752089
Iran,IRN,60,12,0.9526705119740214,83.78945550900328,0.6401794173752089
Iran,IRN,96,13,0.9309835079593513,83.78945550900328,0.6401794173752089
Iran,IRN,71,14,0.9092191627899628,83.78945550900328,0.6401794173752089
Iran,IRN,80,15,0.8872839589916014,83.78945550900328,0.6401794173752089
Iran,IRN,71,16,0.8654589563120338,83.78945550900328,0.6401794173752089
Iran,IRN,63,17,0.8441120870392611,83.78945550900328,0.6401794173752089
Iran,IRN,65,18,0.8235841964001944,83.78945550900328,0.6401794173752089
Iran,IRN,47,19,0.8041457951452777,83.78945550900328,0.6401794173752089
Iran,IRN,74,20,0.7857278472119715,83.78945550900328,0.6401794173752089
Iran,IRN,63,21,0.7678565699537339,83.78945550900328,0.6401794173752089
Iran,IRN,78,22,0.7500777752021508,83.78945550900328,0.6401794173752089
Iran,IRN,68,23,0.7323568365741336,83.78945550900328,0.6401794173752089
Iran,IRN,55,24,0.714914203591413,83.78945550900328,0.6401794173752089
Iran,IRN,48,25,0.6984805222592485,83.78945550900328,0.6401794173752089
Iran,IRN,51,26,0.6835744426396742,83.78945550900328,0.6401794173752089
Iran,IRN,45,27,0.6705163346753474,83.78945550900328,0.6401794173752089
Iran,IRN,48,28,0.6591956292331344,83.78945550900328,0.6401794173752089
Iran,IRN,50,29,0.6493047982945142,83.78945550900328,0.6401794173752089
Iran,IRN,71,30,0.6401794173752089,83.78945550900328,0.6401794173752089
Denmark,DNK,3,0,0.7506772506910812,92.68790790446621,0.33060819310822276
Denmark,DNK,4,1,0.6415440291600809,92.68790790446621,0.33060819310822276
Denmark,DNK,-6,2,0.5349050413674303,92.68790790446621,0.33060819310822276
Denmark,DNK,6,3,0.4318447060605396,92.68790790446621,0.33060819310822276
Denmark,DNK,4,4,0.33060819310822276,92.68790790446621,0.33060819310822276
Germany,DEU,127,0,1.339617642105287,95.09590054889054,0.7309526398320307
Germany,DEU,0,1,1.2807863136165973,95.09590054889054,0.7309526398320307
Germany,DEU,282,2,1.2235975830518708,95.09590054889054,0.7309526398320307
Germany,DEU,117,3,1.1648414861331435,95.09590054889054,0.7309526398320307
Germany,DEU,118,4,1.102526099723214,95.09590054889054,0.7309526398320307
Germany,DEU,39,5,1.0390182544665325,95.09590054889054,0.7309526398320307
Germany,DEU,20,6,0.9762491830586916,95.09590054889054,0.7309526398320307
Germany,DEU,92,7,0.9152000826415689,95.09590054889054,0.7309526398320307
Germany,DEU,77,8,0.8546789802960914,95.09590054889054,0.7309526398320307
Germany,DEU,123,9,0.7932847270565977,95.09590054889054,0.7309526398320307
Germany,DEU,23,10,0.7309526398320307,95.09590054889054,0.7309526398320307
Portugal,PRT,9,0,1.179293463612146,115.13229225476675,0.9720013450882927
Portugal,PRT,9,1,1.1255828332321838,115.13229225476675,0.9720013450882927
